-15.259297515610513	-16.206382639668263
-20.105142133870032	-16.206382639668263
-26.71311206786029	-19.73070907369238
-25.391518081062245	-25.45773952898155
-20.105142133870032	-32.06585159277674
-13.49717219987977	-36.03071883105383
-7.329733594822187	-41.757749286343
-3.3649516344280386	-51.00910617565628
-3.3649516344280386	-57.17667743519846
-9.532390239485608	-63.784789498993646
-6.008139608024138	-70.83344236704184
2.361955641696852	-74.79830960531898
8.969925575687114	-72.59560558405389
19.54267747007154	-68.19019754152379
31.877554680186705	-59.81992226071653
