12.044001502167404	-17.05405450983818
10.807540557585554	-21.999904784262085
8.33461866842184	-27.254870700837486
2.1523139455125744	-31.582489690958397
-2.1752993605239226	-31.582489690958397
-5.575566958124014	-34.055414828170356
-9.594065028015038	-36.219224323230804
-14.849024042487926	-35.600993038927825
-21.340444001542664	-32.81895225956437
-26.28628777987008	-34.36453047032184
-29.686555377470185	-38.69214946044276
-31.232131558197494	-45.801809229927116
-36.487090572670375	-41.783305881957695
-39.26912769797955	-39.61949638689724
-41.742049587143256	-35.600993038927825
